Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,1997.85241699,2025-08-24,2025-08-31
2,Liverpool,ENG,1,1997.48950195,2025-08-22,2025-08-25
3,Paris SG,FRA,1,1970.5489502,2025-08-23,2025-08-31
4,Man City,ENG,1,1967.73120117,2025-08-24,2025-08-31
5,Barcelona,ESP,1,1950.59155273,2025-08-24,2025-08-31
6,Real Madrid,ESP,1,1938.16137695,2025-08-22,2025-08-24
7,Inter,ITA,1,1933.42651367,2025-08-22,2025-08-25
8,Bayern,GER,1,1917.72814941,2025-08-23,2025-08-30
9,Chelsea,ENG,1,1899.56018066,2025-08-23,2025-08-30
10,Aston Villa,ENG,1,1871.25878906,2025-08-24,2025-08-31
11,Newcastle,ENG,1,1870.11218262,2025-08-22,2025-08-25
12,Leverkusen,GER,1,1847.51635742,2025-08-24,2025-08-30
13,Atletico,ESP,1,1843.55371094,2025-08-24,2025-08-30
14,Atalanta,ITA,1,1842.40759277,2025-08-22,2025-08-24
15,Napoli,ITA,1,1838.55566406,2025-08-24,2025-08-30
16,Crystal Palace,ENG,1,1838.22631836,2025-08-22,2025-08-24
17,Brighton,ENG,1,1824.42041016,2025-08-22,2025-08-24
18,Roma,ITA,1,1819.84387207,2025-08-24,2025-08-30
19,Dortmund,GER,1,1817.08056641,2025-08-24,2025-08-31
20,Benfica,POR,1,1815.15234375,2025-08-24,2025-08-27
21,Forest,ENG,1,1812.67724609,2025-08-22,2025-08-24
22,PSV,NED,1,1806.94311523,2025-08-24,2025-08-30
23,Juventus,ITA,1,1806.03051758,2025-08-22,2025-08-24
24,Bournemouth,ENG,1,1804.00244141,2025-08-24,2025-08-30
25,Sporting,POR,1,1803.2791748,2025-08-24,2025-08-31
26,Brentford,ENG,1,1801.4440918,2025-08-24,2025-08-30
27,Man United,ENG,1,1794.92980957,2025-08-22,2025-08-24
28,Bilbao,ESP,1,1792.57263184,2025-08-22,2025-08-25
29,Villarreal,ESP,1,1789.06896973,2025-08-22,2025-08-24
30,Milan,ITA,1,1787.09179688,2025-08-24,2025-08-29
31,Everton,ENG,1,1785.12255859,2025-08-22,2025-08-24
32,Fulham,ENG,1,1784.40808105,2025-08-22,2025-08-24
33,Tottenham,ENG,1,1783.92138672,2025-08-24,2025-08-30
34,Lille,FRA,1,1774.65478516,2025-08-22,2025-08-24
35,Lazio,ITA,1,1770.5925293,2025-08-22,2025-08-24
36,Monaco,FRA,1,1759.49951172,2025-08-22,2025-08-24
37,Fiorentina,ITA,1,1757.74377441,2025-08-22,2025-08-24
38,Brugge,BEL,1,1755.91003418,2025-08-24,2025-08-27
39,Bologna,ITA,1,1751.00817871,2025-08-24,2025-08-30
40,Lyon,FRA,1,1746.80334473,2025-08-24,2025-08-31
41,Frankfurt,GER,1,1744.48828125,2025-08-24,2025-08-30
42,Marseille,FRA,1,1741.60266113,2025-08-24,2025-08-31
43,Betis,ESP,1,1739.82128906,2025-08-23,2025-08-27
44,St Gillis,BEL,1,1739.13684082,2025-08-22,2025-08-24
45,Leeds,ENG,1,1731.19641113,2025-08-24,2025-08-30
46,West Ham,ENG,1,1729.25402832,2025-08-23,2025-08-31
47,Wolves,ENG,1,1727.95422363,2025-08-24,2025-08-30
48,Feyenoord,NED,1,1724.48718262,2025-08-22,2025-08-31
49,Burnley,ENG,1,1719.6619873,2025-08-24,2025-08-30
50,Galatasaray,TUR,1,1718.18518066,2025-08-22,2025-08-24
51,Stuttgart,GER,1,1718.04504395,2025-08-24,2025-08-30
52,RB Leipzig,GER,1,1715.10473633,2025-08-23,2025-08-30
53,Strasbourg,FRA,1,1703.26965332,2025-08-22,2025-08-24
54,Mainz,GER,1,1701.0234375,2025-08-22,2025-08-24
55,Porto,POR,1,1698.93798828,2025-08-22,2025-08-24
56,Fenerbahce,TUR,1,1696.6192627,2025-08-24,2025-08-27
57,Osasuna,ESP,1,1695.36169434,2025-08-22,2025-08-24
58,Nice,FRA,1,1690.10620117,2025-08-24,2025-08-31
59,Slavia Praha,CZE,1,1684.84326172,2025-08-24,2025-08-31
60,Freiburg,GER,1,1683.07080078,2025-08-24,2025-08-31
61,Lens,FRA,1,1678.86364746,2025-08-22,2025-08-24
62,Valencia,ESP,1,1677.12316895,2025-08-22,2025-08-24
63,Werder,GER,1,1676.18457031,2025-08-24,2025-08-30
64,Torino,ITA,1,1675.42675781,2025-08-22,2025-08-25
65,Celtic,SCO,1,1675.40930176,2025-08-24,2025-08-26
66,Braga,POR,1,1675.26342773,2025-08-22,2025-08-24
67,Brest,FRA,1,1674.31628418,2025-08-22,2025-08-24
68,Celta,ESP,1,1673.01135254,2025-08-24,2025-08-27
69,Olympiakos,GRE,1,1672.72570801,2025-08-24,2025-08-31
70,Rayo Vallecano,ESP,1,1672.1640625,2025-08-22,2025-08-25
71,Sociedad,ESP,1,1669.7845459,2025-08-22,2025-08-24
72,Rennes,FRA,1,1666.22790527,2025-08-22,2025-08-24
73,Ajax,NED,1,1664.26281738,2025-08-22,2025-08-24
74,Genoa,ITA,1,1664.24816895,2025-08-24,2025-08-31
75,Toulouse,FRA,1,1658.84375,2025-08-22,2025-08-24
76,FC Kobenhavn,DEN,1,1658.12573242,2025-08-24,2025-08-27
77,Zenit,RUS,1,1657.46350098,2025-08-22,2025-08-31
78,Alaves,ESP,1,1649.75219727,2025-08-23,2025-08-30
79,Como,ITA,1,1648.52758789,2025-08-22,2025-08-24
80,Espanyol,ESP,1,1646.62963867,2025-08-22,2025-08-24
