Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,2003.53063965,2025-08-29,2025-08-31
2,Arsenal,ENG,1,2002.37646484,2025-08-29,2025-08-31
3,Paris SG,FRA,1,1974.19458008,2025-08-29,2025-08-30
4,Barcelona,ESP,1,1953.10412598,2025-08-29,2025-08-31
5,Man City,ENG,1,1949.14978027,2025-08-29,2025-08-31
6,Real Madrid,ESP,1,1942.31567383,2025-08-29,2025-08-30
7,Inter,ITA,1,1938.6628418,2025-08-29,2025-08-31
8,Bayern,GER,1,1927.0645752,2025-08-29,2025-08-30
9,Chelsea,ENG,1,1909.71740723,2025-08-29,2025-08-30
10,Newcastle,ENG,1,1864.47595215,2025-08-29,2025-08-30
11,Aston Villa,ENG,1,1862.87402344,2025-08-29,2025-08-31
12,Napoli,ITA,1,1843.80493164,2025-08-29,2025-08-30
13,Crystal Palace,ENG,1,1836.96032715,2025-08-29,2025-08-31
14,Atletico,ESP,1,1836.40563965,2025-08-29,2025-08-30
15,Leverkusen,GER,1,1835.73583984,2025-08-29,2025-08-30
16,Atalanta,ITA,1,1835.11791992,2025-08-29,2025-08-30
17,Roma,ITA,1,1826.17407227,2025-08-29,2025-08-30
18,Benfica,POR,1,1819.57348633,2025-08-29,2025-08-31
19,Forest,ENG,1,1814.9185791,2025-08-29,2025-08-31
20,Dortmund,GER,1,1814.34521484,2025-08-29,2025-08-31
21,Brighton,ENG,1,1813.36938477,2025-08-29,2025-08-31
22,Juventus,ITA,1,1810.46948242,2025-08-29,2025-08-31
23,Brentford,ENG,1,1810.2331543,2025-08-29,2025-08-30
24,PSV,NED,1,1809.33874512,2025-08-29,2025-08-30
25,Bournemouth,ENG,1,1809.19995117,2025-08-29,2025-08-30
26,Sporting,POR,1,1804.61157227,2025-08-29,2025-08-30
27,Tottenham,ENG,1,1802.91003418,2025-08-29,2025-08-30
28,Bilbao,ESP,1,1796.60705566,2025-08-29,2025-08-31
29,Everton,ENG,1,1796.57751465,2025-08-29,2025-08-30
30,Man United,ENG,1,1796.20751953,2025-08-29,2025-08-30
31,Villarreal,ESP,1,1795.5411377,2025-08-29,2025-08-31
32,Lille,FRA,1,1783.84851074,2025-08-29,2025-08-30
33,Fulham,ENG,1,1783.5489502,2025-08-29,2025-08-30
34,Milan,ITA,1,1772.91723633,2025-08-30,2025-09-14
35,Brugge,BEL,1,1759.95324707,2025-08-29,2025-08-31
36,Lazio,ITA,1,1756.54833984,2025-08-29,2025-08-31
37,Monaco,FRA,1,1756.33410645,2025-08-29,2025-08-31
38,Frankfurt,GER,1,1756.22143555,2025-08-29,2025-08-30
39,Fiorentina,ITA,1,1755.30163574,2025-08-29,2025-08-31
40,Lyon,FRA,1,1754.59631348,2025-08-29,2025-08-31
41,Marseille,FRA,1,1748.83422852,2025-08-29,2025-08-31
42,Bologna,ITA,1,1745.97021484,2025-08-29,2025-08-30
43,Betis,ESP,1,1744.22229004,2025-08-29,2025-08-31
44,St Gillis,BEL,1,1728.5201416,2025-08-29,2025-08-31
45,Leeds,ENG,1,1727.07189941,2025-08-29,2025-08-30
46,Feyenoord,NED,1,1725.78430176,2025-08-29,2025-08-31
47,Burnley,ENG,1,1724.97497559,2025-08-29,2025-08-30
48,Wolves,ENG,1,1723.14758301,2025-08-29,2025-08-30
49,West Ham,ENG,1,1719.49707031,2025-08-29,2025-08-31
50,Strasbourg,FRA,1,1718.71887207,2025-08-29,2025-08-31
51,Porto,POR,1,1714.42175293,2025-08-29,2025-08-30
52,Stuttgart,GER,1,1711.05981445,2025-08-29,2025-08-30
53,RB Leipzig,GER,1,1710.8536377,2025-08-29,2025-08-30
54,Galatasaray,TUR,1,1709.66784668,2025-08-29,2025-08-30
55,Osasuna,ESP,1,1701.51855469,2025-08-29,2025-08-31
